Date,Adj Close,Date,Adj Close
3/20/2012,3074.149902,3/20/2012,23.07
3/21/2012,3075.320068,3/21/2012,23
3/22/2012,3063.320068,3/22/2012,23
3/23/2012,3067.919922,3/23/2012,23
3/26/2012,3122.570068,3/26/2012,22.860001
3/27/2012,3120.350098,3/27/2012,23.43
3/28/2012,3104.959961,3/28/2012,23.059999
3/29/2012,3095.360107,3/29/2012,22.99
3/30/2012,3091.570068,3/30/2012,22.969999
4/2/2012,3119.699951,4/2/2012,23.16
4/3/2012,3113.570068,4/3/2012,23.530001
4/4/2012,3068.090088,4/4/2012,22.75
4/5/2012,3080.5,4/5/2012,21.99
4/9/2012,3047.080078,4/9/2012,21.459999
4/10/2012,2991.219971,4/10/2012,21.09
4/11/2012,3016.459961,4/11/2012,21.059999
4/12/2012,3055.550049,4/12/2012,21.26
4/13/2012,3011.330078,4/13/2012,21.030001
4/16/2012,2988.399902,4/16/2012,20.82
4/17/2012,3042.820068,4/17/2012,21.01
4/18/2012,3031.449951,4/18/2012,18.969999
4/19/2012,3007.560059,4/19/2012,19.24
4/20/2012,3000.449951,4/20/2012,19.360001
4/23/2012,2970.449951,4/23/2012,18.23
4/24/2012,2961.600098,4/24/2012,18.66
4/25/2012,3029.629883,4/25/2012,19.219999
4/26/2012,3050.610107,4/26/2012,19.129999
4/27/2012,3069.199951,4/27/2012,19.24
4/30/2012,3046.360107,4/30/2012,19.41
5/1/2012,3050.439941,5/1/2012,19.66
5/2/2012,3059.850098,5/2/2012,19.74
5/3/2012,3024.300049,5/3/2012,19.58
5/4/2012,2956.340088,5/4/2012,19.610001
5/7/2012,2957.76001,5/7/2012,19.700001
5/8/2012,2946.27002,5/8/2012,19.1
5/9/2012,2934.709961,5/9/2012,18.370001
5/10/2012,2933.639893,5/10/2012,17.73
5/11/2012,2933.820068,5/11/2012,17.74
5/14/2012,2902.580078,5/14/2012,17.42
5/15/2012,2893.76001,5/15/2012,16.99
5/16/2012,2874.040039,5/16/2012,16.379999
5/17/2012,2813.689941,5/17/2012,16.620001
5/18/2012,2778.790039,5/18/2012,16.559999
